Stevilka igralca,Igralec,Pozicija,ID ekipe,FG,FGA,Skoki,Asistence,Ukradene žoge,Blokade,Izgubljene žoge,Tocke
1,Precious Achiuwa,PF,MIA,2.0,3.7,3.4,0.5,0.3,0.5,0.7,5.0
2,Jaylen Adams,PG,MIL,0.1,1.1,0.4,0.3,0.0,0.0,0.0,0.3
3,Steven Adams,C,NOP,3.3,5.3,8.9,1.9,0.9,0.7,1.3,7.6
4,Bam Adebayo,C,MIA,7.1,12.5,9.0,5.4,1.2,1.0,2.6,18.7
5,LaMarcus Aldridge,C,SAS,5.5,11.8,4.5,1.7,0.4,0.9,1.0,13.7
5,LaMarcus Aldridge,C,BRK,5.0,9.6,4.8,2.6,0.6,2.2,1.4,12.8
6,Ty-Shon Alexander,SG,PHO,0.2,0.8,0.7,0.4,0.0,0.1,0.2,0.6
7,Nickeil Alexander-Walker,SG,NOP,4.2,10.0,3.1,2.2,1.0,0.5,1.5,11.0
8,Grayson Allen,SG,MEM,3.5,8.3,3.2,2.2,0.9,0.2,1.0,10.6
9,Jarrett Allen,C,BRK,3.7,5.4,10.4,1.7,0.6,1.6,1.8,11.2
9,Jarrett Allen,C,CLE,5.0,8.2,9.9,1.7,0.5,1.4,1.5,13.2
10,Al-Farouq Aminu,PF,ORL,2.1,5.2,5.4,1.7,1.0,0.5,1.5,5.5
10,Al-Farouq Aminu,PF,CHI,0.3,1.7,3.2,0.3,0.3,0.0,0.5,1.5
11,Kyle Anderson,PF,MEM,4.5,9.5,5.7,3.6,1.2,0.8,1.2,12.4
12,Giannis Antetokounmpo,PF,MIL,0.2,0.7,1.3,0.1,0.1,0.3,0.7,0.8
14,Thanasis Antetokounmpo,SF,MIL,1.2,2.4,2.2,0.8,0.4,0.2,0.8,2.9
15,Carmelo Anthony,PF,POR,4.7,11.3,3.1,1.5,0.7,0.6,0.9,13.4
16,Cole Anthony,PG,ORL,4.7,11.7,4.7,4.1,0.6,0.4,2.3,12.9
17,OG Anunoby,SF,TOR,5.8,12.1,5.5,2.2,1.5,0.7,1.7,15.9
18,Ryan Arcidiacono,PG,CHI,1.1,2.7,1.5,1.3,0.2,0.0,0.2,3.1
19,Trevor Ariza,SF,MIA,3.3,8.0,4.8,1.8,1.0,0.6,0.7,9.4
20,D.J. Augustin,PG,MIL,1.9,5.2,1.4,3.0,0.5,0.0,0.9,6.1
20,D.J. Augustin,PG,HOU,3.2,7.6,2.2,3.9,0.4,0.0,1.6,10.6
21,Deni Avdija,SF,WAS,2.4,5.8,4.9,1.2,0.6,0.3,0.6,6.3
22,Deandre Ayton,C,PHO,6.2,10.0,10.5,1.4,0.6,1.2,1.5,14.4
23,Udoka Azubuike,C,UTA,0.3,0.6,0.9,0.0,0.1,0.3,0.2,1.1
24,Dwayne Bacon,SG,ORL,4.1,10.1,3.1,1.3,0.6,0.1,0.6,10.9
25,Marvin Bagley III,PF,SAC,5.7,11.4,7.4,1.0,0.5,0.5,1.4,14.1
26,LaMelo Ball,PG,CHO,5.7,13.2,5.9,6.1,1.6,0.4,2.8,15.7
27,Lonzo Ball,PG,NOP,5.3,12.7,4.8,5.7,1.5,0.6,2.2,14.6
28,Mo Bamba,C,ORL,3.1,6.5,5.8,0.8,0.3,1.3,0.8,8.0
29,Desmond Bane,SG,MEM,3.4,7.3,3.1,1.7,0.6,0.2,0.9,9.2
30,Harrison Barnes,PF,SAC,5.5,11.1,6.6,3.5,0.7,0.2,1.6,16.1
31,RJ Barrett,SG,NYK,6.5,14.7,5.8,3.0,0.7,0.3,1.9,17.6
32,Will Barton,SF,DEN,4.6,10.9,4.0,3.2,0.9,0.4,1.7,12.7
33,Keita Bates-Diop,SF,SAS,1.0,2.2,1.6,0.4,0.4,0.2,0.2,2.6
34,Nicolas Batum,SF,LAC,2.9,6.1,4.7,2.2,1.0,0.6,0.8,8.1
35,Aron Baynes,C,TOR,2.5,5.7,5.2,0.9,0.3,0.4,0.9,6.1
36,Kent Bazemore,SF,GSW,2.6,5.9,3.4,1.6,1.0,0.5,1.2,7.2
37,Darius Bazley,PF,OKC,5.0,12.5,7.2,1.8,0.5,0.5,2.2,13.7
38,Bradley Beal,SG,WAS,7.1,16.2,4.4,2.4,0.8,0.2,1.6,19.6
40,Jordan Bell,C,WAS,1.4,4.0,3.8,1.0,0.6,0.6,0.6,2.8
40,Jordan Bell,C,GSW,0.0,2.0,5.0,2.0,0.0,2.0,1.0,1.0
41,DeAndre' Bembry,SF,TOR,2.3,4.5,2.9,2.1,1.0,0.4,1.4,5.7
42,Dāvis Bertāns,PF,WAS,3.4,8.4,2.9,0.9,0.6,0.2,0.6,11.5
43,Patrick Beverley,PG,LAC,2.5,5.9,3.2,2.1,0.8,0.8,0.9,7.5
44,Saddiq Bey,SF,DET,4.0,9.9,4.5,1.4,0.7,0.2,0.9,12.2
45,Tyler Bey,SF,DAL,0.4,1.2,1.1,0.2,0.0,0.1,0.2,1.0
46,Khem Birch,C,ORL,2.0,4.4,5.1,1.1,0.7,0.6,0.5,5.3
46,Khem Birch,C,TOR,5.0,9.0,7.6,1.9,0.8,1.2,1.1,11.9
47,Goga Bitadze,C,IND,1.8,4.3,3.3,0.8,0.2,1.3,0.4,5.1
48,Bismack Biyombo,C,CHO,2.2,3.7,5.3,1.2,0.3,1.1,1.1,5.0
