Ekipa,Stevilo tekem,Igrane minute,Zadet met,Poskus meta,Zadet met za 3,Poskus meta za 3,Zadeti prosti meti,Poskus prostega meta,Skoki v napadu,Skoki v obrambi,Asistence,Ukradene žoge,Blokade,Izgubljene žoge,Osebne napake,Tocke
Milwaukee Bucks,72.0,240.7,44.7,91.8,14.4,37.1,16.2,21.4,10.3,37.8,25.5,8.1,4.6,13.8,17.3,120.1
Brooklyn Nets,72.0,241.7,43.1,87.3,14.2,36.1,18.1,22.5,8.9,35.5,26.8,6.7,5.3,13.5,19.0,118.6
Washington Wizards,72.0,241.7,43.2,90.9,10.2,29.0,20.1,26.2,9.7,35.5,25.5,7.3,4.1,14.4,21.6,116.6
Utah Jazz,72.0,241.0,41.3,88.1,16.7,43.0,17.2,21.5,10.6,37.6,23.7,6.6,5.2,14.2,18.5,116.4
Portland Trail Blazers,72.0,240.3,41.3,91.1,15.7,40.8,17.8,21.6,10.6,33.9,21.3,6.9,5.0,11.1,18.9,116.1
Phoenix Suns,72.0,242.8,43.3,88.3,13.1,34.6,15.6,18.7,8.8,34.2,26.9,7.2,4.3,12.5,19.1,115.3
Indiana Pacers,72.0,242.4,43.3,91.2,12.3,34.0,16.4,20.7,9.0,33.7,27.4,8.5,6.4,13.5,20.2,115.3
Denver Nuggets,72.0,242.8,43.3,89.2,12.9,34.2,15.7,19.5,10.5,33.9,26.8,8.1,4.5,13.5,19.1,115.1
New Orleans Pelicans,72.0,242.1,42.5,89.1,10.6,30.4,19.0,26.1,11.7,35.7,26.0,7.6,4.4,14.6,18.0,114.6
Los Angeles Clippers,72.0,240.0,41.8,86.7,14.3,34.7,16.2,19.3,9.4,34.7,24.4,7.1,4.1,13.2,19.2,114.0
Atlanta Hawks,72.0,241.7,40.8,87.2,12.4,33.4,19.7,24.2,10.6,35.1,24.1,7.0,4.8,13.2,19.3,113.7
Sacramento Kings,72.0,240.3,42.6,88.6,12.1,33.3,16.4,22.0,9.4,32.0,25.5,7.5,5.0,13.4,19.4,113.7
Golden State Warriors,72.0,240.3,41.3,88.2,14.6,38.7,16.6,21.1,8.0,35.1,27.7,8.2,4.8,15.0,21.2,113.7
Philadelphia 76ers,72.0,242.1,41.4,86.9,11.3,30.1,19.6,25.5,10.0,35.0,23.7,9.1,6.2,14.4,20.2,113.6
Memphis Grizzlies,72.0,241.7,42.8,91.8,11.2,31.4,16.4,21.3,11.2,35.3,26.9,9.1,5.1,13.3,18.7,113.3
Boston Celtics,72.0,241.4,41.5,88.9,13.6,36.4,16.1,20.8,10.6,33.6,23.5,7.7,5.3,14.1,20.4,112.6
Dallas Mavericks,72.0,240.3,41.1,87.3,13.8,38.1,16.5,21.2,9.1,34.2,22.9,6.3,4.3,12.1,19.4,112.4
Minnesota Timberwolves,72.0,241.7,40.7,90.9,13.1,37.6,17.6,23.1,10.5,33.0,25.6,8.8,5.5,14.3,20.9,112.1
Toronto Raptors,72.0,240.3,39.7,88.7,14.5,39.3,17.4,21.3,9.4,32.1,24.1,8.6,5.4,13.2,21.2,111.3
San Antonio Spurs,72.0,242.8,41.9,90.5,9.9,28.4,17.4,22.0,9.3,34.6,24.4,7.0,5.1,11.4,18.0,111.1
Chicago Bulls,72.0,241.4,42.2,88.6,12.6,34.0,13.8,17.5,9.6,35.3,26.8,6.7,4.2,15.1,18.9,110.7
Los Angeles Lakers,72.0,242.4,40.6,86.1,11.1,31.2,17.2,23.3,9.7,34.6,24.7,7.8,5.4,15.2,19.1,109.5
Charlotte Hornets,72.0,241.0,39.9,87.8,13.7,37.0,15.9,20.9,10.6,33.2,26.8,7.8,4.8,14.8,18.0,109.5
Houston Rockets,72.0,240.3,39.3,88.5,13.8,40.6,16.5,22.3,9.3,33.3,23.6,7.6,5.0,14.7,19.5,108.8
Miami Heat,72.0,241.4,39.2,83.7,12.9,36.2,16.7,21.1,8.0,33.5,26.3,7.9,4.0,14.1,18.9,108.1
New York Knicks,72.0,242.1,39.4,86.5,11.8,30.0,16.4,20.9,9.7,35.5,21.4,7.0,5.1,12.9,20.5,107.0
Detroit Pistons,72.0,242.1,38.7,85.6,11.6,32.9,17.8,23.4,9.6,33.1,24.2,7.4,5.2,14.9,20.5,106.6
Oklahoma City Thunder,72.0,241.0,38.8,88.0,11.9,35.1,15.5,21.3,9.9,35.7,22.1,7.0,4.4,16.1,18.1,105.0
Orlando Magic,72.0,240.7,38.3,89.2,10.9,31.8,16.6,21.4,10.4,35.1,21.8,6.9,4.4,12.8,17.2,104.0
Cleveland Cavaliers,72.0,242.1,38.6,85.8,10.0,29.7,16.7,22.4,10.4,32.3,23.8,7.8,4.5,15.5,18.2,103.8
